zip,cityname,lat,lon,weather,temp_f,temp_c,rh,windspeed,visiblity,Observation Time
15145,"Turtle Creek, PA",40.40999985,-79.83000183,Overcast,31.8,-0.1,89%,0,10,"March 21, 8:14 PM EDT"
15145,"Turtle Creek, PA",40.40999985,-79.83000183,Clear,19.5,-6.9,91%,0,10,"March 22, 2:02 AM EDT"
15145,"Turtle Creek, PA",40.40999985,-79.83000183,Clear,25.9,-3.4,84%,0,10,"March 23, 12:33 AM EDT"
15145,"Turtle Creek, PA",40.40999985,-79.83000183,Clear,41.4,5.2,50%,1,10,"March 24, 1:49 PM EDT"
19154,"Philadelphia, PA",40.09000015,-74.98000336,Light Snow,31.6,-0.2,86%,0,0.8,"March 21, 8:14 PM EDT"
19154,"Philadelphia, PA",40.09000015,-74.98000336,Overcast,32.4,0.2,88%,0,7,"March 22, 2:02 AM EDT"
19154,"Philadelphia, PA",40.09000015,-74.98000336,Clear,39.7,4.3,41%,4.9,10,"March 23, 12:33 AM EDT"
19154,"Philadelphia, PA",40.09000015,-74.98000336,Clear,47.1,8.4,29%,4.9,10,"March 24, 1:49 PM EDT"
19155,"Philadelphia, PA",39.95000076,-75.16000366,Snow,32.8,0.4,93%,2,1.8,"March 21, 8:08 PM EDT"
19155,"Philadelphia, PA",39.95000076,-75.16000366,Overcast,34,1.1,93%,1,9,"March 22, 1:53 AM EDT"
19155,"Philadelphia, PA",39.95000076,-75.16000366,Clear,41.1,5.1,50%,0,10,"March 23, 12:27 AM EDT"
19155,"Philadelphia, PA",39.95000076,-75.16000366,Clear,48.1,8.9,34%,0,10,"March 24, 1:47 PM EDT"
20155,"Gainesville, VA",38.81000137,-77.62000275,Overcast,32.7,0.4,88%,0,10,"March 21, 8:12 PM EDT"
20155,"Gainesville, VA",38.81000137,-77.62000275,Mostly Cloudy,33.6,0.9,81%,0,10,"March 22, 2:02 AM EDT"
20155,"Gainesville, VA",38.81000137,-77.62000275,Clear,37.8,3.2,45%,0,10,"March 23, 12:33 AM EDT"
20155,"Gainesville, VA",38.81000137,-77.62000275,Clear,47.8,8.8,33%,0.9,10,"March 24, 1:50 PM EDT"
20156,"Gainesville, VA",38.83000183,-77.62000275,Overcast,32.9,0.5,86%,5.6,10,"March 21, 8:13 PM EDT"
20156,"Gainesville, VA",38.83000183,-77.62000275,Overcast,33.1,0.6,83%,3.1,10,"March 22, 2:03 AM EDT"
20156,"Gainesville, VA",38.83000183,-77.62000275,Clear,36.9,2.7,53%,9.8,10,"March 23, 12:34 AM EDT"
20156,"Gainesville, VA",38.83000183,-77.62000275,Clear,45.7,7.6,46%,4.9,10,"March 24, 1:50 PM EDT"
21156,"Upper Falls, MD",39.43999863,-76.40000153,Overcast,32.1,0.1,93%,5,10,"March 21, 8:11 PM EDT"
21156,"Upper Falls, MD",39.43999863,-76.40000153,Snow,32.6,0.3,92%,0,10,"March 22, 1:57 AM EDT"
21156,"Upper Falls, MD",39.43999863,-76.40000153,Clear,37.2,2.9,56%,1,10,"March 23, 12:30 AM EDT"
21156,"Upper Falls, MD",39.43999863,-76.40000153,Clear,47.7,8.7,41%,0,10,"March 24, 1:48 PM EDT"
21157,"Westminster, MD",39.56000137,-76.98000336,Overcast,29.1,-1.6,100%,0.7,4,"March 21, 7:58 PM EDT"
21157,"Westminster, MD",39.56000137,-76.98000336,Overcast,30,-1.1,100%,0.7,10,"March 22, 1:58 AM EDT"
21157,"Westminster, MD",39.56000137,-76.98000336,Clear,32.4,0.2,100%,2.5,10,"March 23, 12:21 AM EDT"
21157,"Westminster, MD",39.56000137,-76.98000336,Clear,39.4,4.1,60%,1.8,10,"March 24, 1:37 PM EDT"
21158,"Westminster, MD",39.61999893,-77.02999878,Overcast,30.6,-0.8,90%,0,4,"March 21, 8:13 PM EDT"
21158,"Westminster, MD",39.61999893,-77.02999878,Overcast,30.4,-0.9,89%,0,10,"March 22, 2:03 AM EDT"
21158,"Westminster, MD",39.61999893,-77.02999878,Clear,33.3,0.7,67%,0,10,"March 23, 12:34 AM EDT"
21158,"Westminster, MD",39.61999893,-77.02999878,Clear,45.2,7.3,45%,3,10,"March 24, 1:50 PM EDT"
22159,"Springfield, VA",38.79000092,-77.19000244,Overcast,33.1,0.6,91%,2,10,"March 21, 8:12 PM EDT"
22159,"Springfield, VA",38.79000092,-77.19000244,Overcast,33.3,0.7,92%,2,10,"March 22, 2:03 AM EDT"
22159,"Springfield, VA",38.79000092,-77.19000244,Clear,38.7,3.7,48%,1,10,"March 23, 12:34 AM EDT"
22159,"Springfield, VA",38.79000092,-77.19000244,Clear,47.6,8.7,39%,4,10,"March 24, 1:51 PM EDT"
25081,"Foster, WV",38.09999847,-81.77999878,Light Snow,36.9,2.7,92%,0,2,"March 21, 4:37 PM EDT"
25081,"Foster, WV",38.09999847,-81.77999878,Mostly Cloudy,32.7,0.4,91%,0,10,"March 22, 2:04 AM EDT"
25081,"Foster, WV",38.09999847,-81.77999878,Partly Cloudy,30.2,-1,92%,0,10,"March 23, 12:34 AM EDT"
25081,"Foster, WV",38.09999847,-81.77999878,Ice Pellets,34.5,1.4,91%,0,10,"March 24, 1:51 PM EDT"
